,RT,SERIALNO
892,H,2012000187732
893,H,2012000187745
894,H,2012000187756
895,H,2012000187758
896,H,2012000187936
897,H,2012000187990
898,H,2012000188287
899,H,2012000188620
900,H,2012000188700
901,H,2012000189049
902,H,2012000189066
903,H,2012000189124
904,H,2012000189710
905,H,2012000189736
906,H,2012000189877
907,H,2012000189901
908,H,2012000189922
909,H,2012000190094
910,H,2012000190335
911,H,2012000191143
912,H,2012000191229
913,H,2012000191255
914,H,2012000191567
915,H,2012000191656
916,H,2012000191705
917,H,2012000192772
918,H,2012000193079
919,H,2012000193272
920,H,2012000193551
921,H,2012000193558
922,H,2012000193632
923,H,2012000193719
924,H,2012000193766
925,H,2012000193847
926,H,2012000193934
927,H,2012000194059
928,H,2012000194075
929,H,2012000194197
930,H,2012000194249
931,H,2012000195115
932,H,2012000195275
933,H,2012000195627
934,H,2012000195782
935,H,2012000195816
936,H,2012000196082
937,H,2012000196196
938,H,2012000196224
939,H,2012000196380
940,H,2012000196596
941,H,2012000196750
942,H,2012000197290
943,H,2012000197330
944,H,2012000197374
945,H,2012000197404
946,H,2012000197442
947,H,2012000197658
948,H,2012000197725
949,H,2012000198554
950,H,2012000198792
951,H,2012000199306
952,H,2012000199795
953,H,2012000199849
954,H,2012000200028
955,H,2012000200257
956,H,2012000200422
957,H,2012000200815
958,H,2012000201098
959,H,2012000201330
960,H,2012000201395
961,H,2012000201407
962,H,2012000201507
963,H,2012000201532
964,H,2012000201700
965,H,2012000201904
966,H,2012000201918
967,H,2012000201925
968,H,2012000202088
969,H,2012000202096
970,H,2012000202165
971,H,2012000202308
972,H,2012000202320
973,H,2012000202331
974,H,2012000202383
975,H,2012000202569
976,H,2012000202719
977,H,2012000202781
978,H,2012000203031
979,H,2012000203413
980,H,2012000203429
981,H,2012000204366
982,H,2012000204629
983,H,2012000204745
984,H,2012000205002
985,H,2012000205121
986,H,2012000205198
987,H,2012000205289
988,H,2012000205366
989,H,2012000205422
990,H,2012000205745
991,H,2012000205789
992,H,2012000206262
993,H,2012000207042
994,H,2012000207289
995,H,2012000207570
996,H,2012000207721
997,H,2012000208291
998,H,2012000208365
999,H,2012000208379
1000,H,2012000208457
1001,H,2012000208642
1002,H,2012000208699
1003,H,2012000208945
1004,H,2012000209007
1005,H,2012000209886
1006,H,2012000209907
1007,H,2012000210182
1008,H,2012000210366
1009,H,2012000210624
1010,H,2012000210729
1011,H,2012000210869
1012,H,2012000211079
1013,H,2012000211251
1014,H,2012000211281
1015,H,2012000211309
1016,H,2012000211586
1017,H,2012000211896
