,AGEP,CITWP,DDRS
967,8,,2.0
968,77,,2.0
969,80,,1.0
970,23,,2.0
971,35,,2.0
972,32,,2.0
973,11,,2.0
974,9,,2.0
975,6,,2.0
976,3,,
977,29,,2.0
978,2,,
979,38,,2.0
980,60,,2.0
981,60,,2.0
982,69,,2.0
983,56,,2.0
984,57,,2.0
985,60,,2.0
986,58,,2.0
987,46,,2.0
988,41,,2.0
989,18,,2.0
990,14,,2.0
991,39,,2.0
992,22,,2.0
993,19,,2.0
994,0,,
995,93,,1.0
996,76,,2.0
997,44,,2.0
998,48,,2.0
999,22,,2.0
1000,20,,2.0
1001,21,,2.0
1002,56,1993.0,2.0
1003,41,,2.0
1004,42,,2.0
1005,43,,2.0
1006,24,,2.0
1007,27,,2.0
1008,33,,2.0
1009,31,,2.0
1010,1,,
1011,64,,2.0
1012,51,,2.0
1013,63,,2.0
1014,65,,2.0
1015,69,,2.0
1016,21,,2.0
1017,18,,2.0
1018,26,,2.0
1019,16,,2.0
1020,56,,2.0
1021,55,,2.0
1022,59,,2.0
1023,61,,2.0
1024,61,,2.0
1025,62,,2.0
1026,60,,2.0
1027,56,,2.0
1028,43,,2.0
1029,51,,2.0
1030,56,,2.0
1031,54,,2.0
1032,58,,2.0
1033,88,,2.0
1034,81,,2.0
1035,59,,2.0
1036,61,,2.0
1037,16,,2.0
1038,53,,2.0
1039,52,,2.0
1040,93,,2.0
1041,43,,2.0
1042,24,,2.0
1043,56,,2.0
1044,27,,2.0
1045,64,,2.0
1046,58,,2.0
1047,48,,2.0
1048,48,,2.0
1049,13,,2.0
1050,11,,2.0
1051,54,,2.0
1052,53,,2.0
1053,54,,1.0
1054,71,1990.0,2.0
1055,72,,1.0
1056,54,,2.0
1057,51,,2.0
1058,16,,2.0
1059,54,,2.0
1060,54,,2.0
1061,60,,2.0
1062,60,,2.0
1063,39,,2.0
1064,32,,2.0
1065,44,,2.0
1066,21,,2.0
1067,30,,2.0
1068,28,,2.0
1069,3,,
1070,0,,
1071,73,,2.0
1072,81,,2.0
1073,36,,2.0
1074,15,,2.0
1075,6,,2.0
1076,3,,
1077,62,,2.0
1078,61,,2.0
1079,56,,2.0
1080,8,,2.0
1081,63,,2.0
1082,42,,2.0
1083,28,,2.0
1084,39,,2.0
1085,2,,
1086,11,,1.0
1087,36,,2.0
1088,44,,2.0
1089,36,,2.0
1090,5,,2.0
1091,12,,2.0
1092,15,,2.0
1093,62,,2.0
1094,62,,2.0
1095,74,,2.0
1096,73,,2.0
1097,39,,2.0
1098,50,,2.0
1099,49,,2.0
1100,17,,2.0
1101,17,,2.0
1102,15,,2.0
1103,11,,2.0
1104,75,,2.0
1105,44,,2.0
1106,44,,2.0
1107,18,,2.0
1108,18,,2.0
1109,66,,2.0
1110,75,,2.0
1111,72,,2.0
1112,78,,2.0
1113,62,,2.0
1114,60,,2.0
1115,65,,2.0
1116,61,,2.0
1117,57,,2.0
1118,51,,2.0
1119,41,,2.0
1120,63,1951.0,2.0
1121,28,,2.0
1122,29,,2.0
1123,20,,2.0
1124,20,,2.0
1125,20,,2.0
