,SEMP,SEX,SSIP,WKHP,WKL
571,0.0,2,0.0,40.0,1.0
572,0.0,1,0.0,40.0,1.0
573,0.0,1,0.0,40.0,1.0
574,0.0,2,0.0,,3.0
575,0.0,2,0.0,,2.0
576,0.0,1,0.0,,3.0
577,0.0,1,0.0,40.0,1.0
578,0.0,1,0.0,45.0,1.0
579,0.0,1,0.0,,2.0
580,0.0,1,0.0,,2.0
581,0.0,2,0.0,,3.0
582,0.0,2,0.0,,3.0
583,0.0,1,0.0,,2.0
584,35500.0,2,0.0,20.0,1.0
585,0.0,1,0.0,40.0,1.0
586,0.0,2,0.0,40.0,1.0
587,0.0,2,0.0,80.0,1.0
588,0.0,2,9700.0,,3.0
589,0.0,2,11000.0,,3.0
590,0.0,2,0.0,36.0,1.0
591,19700.0,1,0.0,36.0,1.0
592,0.0,1,0.0,36.0,1.0
593,0.0,2,0.0,50.0,1.0
594,0.0,2,0.0,,2.0
595,0.0,2,0.0,,3.0
596,0.0,1,0.0,,3.0
597,0.0,2,0.0,,3.0
598,0.0,2,0.0,,2.0
599,0.0,1,0.0,40.0,1.0
600,0.0,2,0.0,30.0,1.0
601,0.0,1,0.0,,3.0
602,0.0,2,0.0,,3.0
603,0.0,1,0.0,,3.0
604,0.0,2,0.0,,3.0
605,0.0,2,0.0,,3.0
606,0.0,2,0.0,50.0,1.0
607,,2,,,
608,0.0,2,0.0,,3.0
609,0.0,2,0.0,40.0,1.0
610,0.0,1,0.0,70.0,1.0
611,0.0,2,0.0,,2.0
612,0.0,2,0.0,30.0,1.0
613,0.0,1,0.0,40.0,1.0
614,,2,,,
615,0.0,2,0.0,2.0,1.0
616,0.0,2,0.0,10.0,1.0
617,0.0,1,0.0,20.0,1.0
618,0.0,2,0.0,5.0,1.0
619,0.0,2,0.0,,2.0
620,,1,,,
621,0.0,1,0.0,,2.0
622,0.0,2,0.0,,3.0
623,0.0,1,0.0,55.0,1.0
624,0.0,2,0.0,26.0,1.0
625,0.0,1,0.0,18.0,1.0
626,0.0,1,0.0,20.0,1.0
627,0.0,1,0.0,,3.0
628,0.0,1,0.0,40.0,1.0
629,0.0,2,0.0,40.0,1.0
630,26000.0,1,0.0,50.0,1.0
631,28000.0,2,0.0,54.0,1.0
632,0.0,1,0.0,40.0,1.0
633,0.0,2,0.0,,2.0
634,0.0,1,0.0,,3.0
635,,1,,,
636,,1,,,
637,,1,,,
638,,2,,,
639,0.0,2,0.0,40.0,1.0
640,8000.0,1,0.0,25.0,1.0
641,,1,,,
642,5000.0,2,0.0,20.0,1.0
643,0.0,1,0.0,50.0,1.0
644,,1,,,
645,,1,,,
646,,1,,,
647,,1,,,
648,,2,,,
649,,2,,,
650,0.0,2,0.0,70.0,1.0
651,,1,,,
652,0.0,1,0.0,80.0,1.0
653,0.0,1,0.0,36.0,1.0
654,0.0,1,0.0,42.0,1.0
655,0.0,2,0.0,,3.0
656,0.0,2,0.0,25.0,1.0
657,0.0,1,0.0,37.0,1.0
658,,1,,,
659,,2,,,
660,,1,,,
661,0.0,1,0.0,30.0,1.0
662,0.0,2,0.0,40.0,1.0
663,0.0,2,0.0,,3.0
664,0.0,1,0.0,12.0,1.0
665,,2,,,
666,,2,,,
667,,2,,,
668,,2,,,
669,0.0,2,0.0,,3.0
670,0.0,1,0.0,,3.0
671,0.0,2,0.0,40.0,1.0
672,0.0,1,0.0,40.0,1.0
673,0.0,2,0.0,,3.0
674,,1,,,
675,,2,,,
676,,2,,,
677,0.0,2,0.0,,2.0
678,0.0,1,0.0,60.0,1.0
679,,1,,,
680,,1,,,
681,90000.0,2,0.0,12.0,1.0
682,0.0,1,0.0,40.0,1.0
683,0.0,2,0.0,25.0,1.0
684,0.0,2,0.0,20.0,1.0
685,,1,,,
686,0.0,2,0.0,,3.0
687,0.0,1,0.0,40.0,1.0
688,0.0,2,0.0,,2.0
689,,2,,,
690,,2,,,
691,,2,,,
692,,1,,,
693,30000.0,1,0.0,50.0,1.0
694,0.0,2,0.0,40.0,1.0
695,30000.0,2,0.0,72.0,1.0
696,0.0,2,0.0,,3.0
697,0.0,2,0.0,,3.0
698,0.0,1,0.0,,3.0
699,0.0,1,0.0,,2.0
700,0.0,2,0.0,,2.0
701,0.0,1,0.0,40.0,1.0
702,0.0,2,0.0,,3.0
703,,2,,,
704,,2,,,
705,0.0,1,0.0,,3.0
706,0.0,2,0.0,,3.0
707,0.0,2,0.0,48.0,1.0
