,RT,SERIALNO
801,P,2012000082809
802,P,2012000082809
803,P,2012000082809
804,P,2012000082899
805,P,2012000082899
806,P,2012000082984
807,P,2012000083217
808,P,2012000083217
809,P,2012000083368
810,P,2012000083368
811,P,2012000083402
812,P,2012000083402
813,P,2012000083953
814,P,2012000084114
815,P,2012000084114
816,P,2012000085128
817,P,2012000085128
818,P,2012000085143
819,P,2012000085143
820,P,2012000085143
821,P,2012000085232
822,P,2012000085232
823,P,2012000085289
824,P,2012000085289
825,P,2012000085289
826,P,2012000085289
827,P,2012000085340
828,P,2012000085340
829,P,2012000085433
830,P,2012000085433
831,P,2012000085433
832,P,2012000085433
833,P,2012000085433
834,P,2012000086161
835,P,2012000086161
836,P,2012000086292
837,P,2012000086292
838,P,2012000086313
839,P,2012000086664
840,P,2012000086664
841,P,2012000086664
842,P,2012000086668
843,P,2012000086820
844,P,2012000086864
845,P,2012000087085
846,P,2012000087085
847,P,2012000087316
848,P,2012000087549
849,P,2012000087549
850,P,2012000087549
851,P,2012000087558
852,P,2012000087558
853,P,2012000087558
854,P,2012000087558
855,P,2012000087603
856,P,2012000087603
857,P,2012000087730
858,P,2012000087730
859,P,2012000087730
860,P,2012000087730
861,P,2012000087730
862,P,2012000087730
863,P,2012000087730
864,P,2012000087884
865,P,2012000087884
866,P,2012000088261
867,P,2012000088261
868,P,2012000088261
869,P,2012000088261
870,P,2012000088457
871,P,2012000088457
872,P,2012000088457
873,P,2012000088457
874,P,2012000088457
875,P,2012000088677
876,P,2012000088817
877,P,2012000088817
878,P,2012000088817
879,P,2012000088817
880,P,2012000088817
881,P,2012000088852
882,P,2012000088852
883,P,2012000089010
884,P,2012000089010
885,P,2012000089464
886,P,2012000089746
887,P,2012000089746
888,P,2012000089746
889,P,2012000089746
890,P,2012000090678
891,P,2012000090678
892,P,2012000090738
893,P,2012000090913
894,P,2012000092306
895,P,2012000092306
896,P,2012000092306
897,P,2012000092307
898,P,2012000092307
899,P,2012000092423
900,P,2012000092434
901,P,2012000092434
902,P,2012000092434
903,P,2012000092434
904,P,2012000092434
905,P,2012000092434
906,P,2012000092434
907,P,2012000092434
908,P,2012000092434
909,P,2012000092582
910,P,2012000092582
911,P,2012000092789
912,P,2012000092789
913,P,2012000092922
914,P,2012000092927
915,P,2012000092927
916,P,2012000093041
917,P,2012000093041
918,P,2012000093041
919,P,2012000093041
920,P,2012000093175
921,P,2012000093332
922,P,2012000093332
923,P,2012000093518
924,P,2012000093518
925,P,2012000093934
926,P,2012000093934
927,P,2012000094007
928,P,2012000094121
929,P,2012000094121
930,P,2012000094139
931,P,2012000094139
932,P,2012000094139
933,P,2012000094139
934,P,2012000094139
935,P,2012000094139
936,P,2012000094139
937,P,2012000094265
938,P,2012000094265
939,P,2012000094459
940,P,2012000094459
941,P,2012000094473
942,P,2012000094473
943,P,2012000094473
944,P,2012000094473
945,P,2012000094473
946,P,2012000094531
947,P,2012000094531
948,P,2012000094531
949,P,2012000094531
950,P,2012000095054
951,P,2012000095054
952,P,2012000095111
953,P,2012000095111
954,P,2012000095111
955,P,2012000095111
956,P,2012000095111
957,P,2012000095541
958,P,2012000095541
959,P,2012000095782
960,P,2012000095782
961,P,2012000095782
962,P,2012000096045
963,P,2012000096150
964,P,2012000096386
965,P,2012000096386
966,P,2012000096386
967,P,2012000096386
968,P,2012000096501
969,P,2012000096501
970,P,2012000096526
971,P,2012000096645
972,P,2012000096645
973,P,2012000096645
974,P,2012000096645
975,P,2012000096645
976,P,2012000096645
977,P,2012000097202
978,P,2012000097202
979,P,2012000097202
980,P,2012000097361
981,P,2012000097361
982,P,2012000098169
983,P,2012000098698
984,P,2012000098698
985,P,2012000098914
986,P,2012000098914
987,P,2012000099180
988,P,2012000099180
989,P,2012000099180
990,P,2012000099180
991,P,2012000099180
992,P,2012000099216
993,P,2012000099216
994,P,2012000099216
995,P,2012000099369
996,P,2012000099467
997,P,2012000100153
998,P,2012000100153
999,P,2012000100153
1000,P,2012000100175
1001,P,2012000100175
1002,P,2012000100286
1003,P,2012000101058
1004,P,2012000101128
1005,P,2012000101170
1006,P,2012000101170
1007,P,2012000101170
1008,P,2012000101550
1009,P,2012000101550
1010,P,2012000101550
1011,P,2012000101557
1012,P,2012000101557
1013,P,2012000101585
1014,P,2012000102517
1015,P,2012000102642
1016,P,2012000102642
1017,P,2012000102717
1018,P,2012000102760
1019,P,2012000103231
1020,P,2012000103231
1021,P,2012000103316
1022,P,2012000103718
1023,P,2012000103718
1024,P,2012000103748
1025,P,2012000103748
