,ADJINC,PWGTP,AGEP,CIT,CITWP
482,1056030,8,2,1,
483,1056030,24,21,1,
484,1056030,66,27,1,
485,1056030,48,29,1,
486,1056030,70,5,1,
487,1056030,6,52,1,
488,1056030,3,58,1,
489,1056030,21,33,1,
490,1056030,10,29,1,
491,1056030,10,4,1,
492,1056030,9,2,1,
493,1056030,10,65,1,
494,1056030,23,47,1,
495,1056030,7,60,1,
496,1056030,6,64,1,
497,1056030,9,63,1,
498,1056030,29,53,1,
499,1056030,2,73,1,
500,1056030,3,59,1,
501,1056030,7,61,1,
502,1056030,6,59,1,
503,1056030,13,93,1,
504,1056030,7,76,1,
505,1056030,8,77,1,
506,1056030,17,13,1,
507,1056030,17,11,1,
508,1056030,16,10,1,
509,1056030,14,52,1,
510,1056030,7,52,1,
511,1056030,35,27,1,
512,1056030,32,23,1,
513,1056030,27,20,1,
514,1056030,12,2,1,
515,1056030,31,66,1,
516,1056030,7,56,1,
517,1056030,4,68,1,
518,1056030,23,63,1,
519,1056030,15,48,1,
520,1056030,16,57,1,
521,1056030,24,16,1,
522,1056030,23,69,1,
523,1056030,26,37,1,
524,1056030,23,8,1,
525,1056030,25,0,1,
526,1056030,28,48,1,
527,1056030,25,74,1,
528,1056030,11,72,1,
529,1056030,17,66,1,
530,1056030,24,56,1,
531,1056030,17,61,1,
532,1056030,19,50,1,
533,1056030,13,34,1,
534,1056030,5,77,1,
535,1056030,4,72,1,
536,1056030,33,75,1,
537,1056030,23,72,1,
538,1056030,27,53,5,
539,1056030,28,58,1,
540,1056030,65,38,5,
541,1056030,31,23,1,
542,1056030,28,22,1,
543,1056030,16,52,1,
544,1056030,6,47,1,
545,1056030,8,45,1,
546,1056030,6,15,1,
547,1056030,8,10,1,
548,1056030,27,74,1,
549,1056030,29,73,1,
550,1056030,32,42,1,
551,1056030,32,74,1,
552,1056030,10,33,1,
553,1056030,14,31,1,
554,1056030,14,6,1,
555,1056030,21,3,1,
556,1056030,21,0,1,
557,1056030,41,63,1,
558,1056030,49,68,1,
559,1056030,7,66,1,
560,1056030,7,42,1,
561,1056030,8,38,1,
562,1056030,8,10,1,
563,1056030,14,6,1,
564,1056030,4,37,1,
565,1056030,8,58,1,
566,1056030,7,51,1,
567,1056030,8,22,1,
568,1056030,8,21,1,
569,1056030,9,70,1,
