,AGEP
1938,14
1939,8
1940,58
1941,66
1942,23
1943,27
1944,2
1945,34
1946,27
1947,5
1948,3
1949,53
1950,25
1951,53
1952,71
1953,68
1954,31
1955,28
1956,4
1957,1
1958,52
1959,53
1960,74
1961,50
1962,47
1963,36
1964,29
1965,2
1966,38
1967,33
1968,11
1969,30
1970,68
1971,53
1972,55
1973,54
1974,23
1975,20
1976,18
1977,0
1978,24
1979,49
1980,43
1981,16
1982,60
1983,60
1984,70
1985,18
1986,23
1987,6
1988,4
1989,29
1990,42
1991,42
1992,15
1993,14
1994,12
1995,60
1996,57
1997,15
1998,55
1999,55
2000,42
2001,45
2002,7
2003,4
2004,59
2005,62
2006,72
2007,57
2008,93
2009,48
2010,21
2011,16
2012,68
2013,82
2014,79
2015,55
2016,31
2017,12
2018,8
2019,51
2020,53
2021,53
2022,63
2023,84
2024,51
2025,57
2026,48
2027,14
2028,8
2029,51
2030,34
2031,30
2032,27
2033,3
2034,15
2035,67
2036,68
2037,80
2038,18
2039,24
2040,22
2041,21
2042,44
2043,68
2044,5
2045,60
2046,62
2047,39
2048,16
2049,10
2050,8
2051,6
2052,56
2053,14
2054,55
2055,46
2056,56
2057,73
2058,69
2059,67
2060,5
2061,42
2062,14
2063,46
2064,63
2065,63
2066,43
2067,58
2068,78
2069,58
2070,31
2071,65
2072,67
2073,77
2074,79
2075,59
2076,63
2077,59
2078,68
2079,45
2080,31
2081,40
2082,50
2083,47
2084,31
2085,22
2086,13
2087,12
2088,10
2089,36
2090,40
2091,9
2092,7
2093,4
2094,1
2095,56
2096,53
2097,64
2098,60
2099,59
2100,66
2101,82
2102,89
2103,64
2104,52
2105,65
2106,57
2107,42
2108,16
2109,14
2110,81
2111,77
2112,76
2113,41
2114,67
2115,65
2116,62
2117,63
2118,62
2119,51
2120,40
2121,38
2122,1
2123,0
2124,41
2125,51
2126,13
2127,10
2128,66
2129,55
2130,85
2131,32
2132,36
2133,4
2134,59
2135,51
2136,18
2137,60
2138,65
2139,56
2140,21
2141,35
2142,68
2143,68
2144,28
2145,6
2146,86
2147,57
2148,45
2149,17
2150,65
2151,58
